2024-08-14 20:36:34.024 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.12.3-linux-x64/python-env-tools/bin/pet server
2024-08-14 20:36:35.011 [info] Discovered env: /usr/bin/python3
2024-08-14 20:36:35.012 [info] Discovered env: /bin/python3
2024-08-14 20:36:38.139 [info] Locator Conda took 4.118844626s
2024-08-14 20:36:38.140 [info] Locator Homebrew took 1.962813ms
2024-08-14 20:36:38.140 [info] Locator LinuxGlobal took 610.983687ms
2024-08-14 20:36:38.140 [info] Locator PipEnv took 581.516µs
2024-08-14 20:36:38.140 [info] Locator Poetry took 132.288596ms
2024-08-14 20:36:38.140 [info] Locator PyEnv took 105.35176ms
2024-08-14 20:36:38.140 [info] Locator Venv took 235.701µs
2024-08-14 20:36:38.140 [info] Locator VirtualEnv took 50.406µs
2024-08-14 20:36:38.140 [info] Locator VirtualEnvWrapper took 312.103µs
2024-08-14 20:36:38.140 [info] Locator GlobalVirtualEnvs took 7.826309ms
2024-08-14 20:36:38.140 [info] Locator Locators took 4.119751222s
2024-08-14 20:36:38.140 [info] Locator Path took 735.666886ms
2024-08-14 20:36:38.140 [info] Locator Workspaces took 1.431552ms
2024-08-14 20:36:38.141 [info] Refresh completed in 4120ms
